crop_time,read_image_time,model_time,full_time,run_time
32.10,27218.40,0.40,27259.80,41.40
32.30,30570.00,0.40,30610.60,40.60
32.10,27171.60,0.70,27212.20,40.60
33.40,29420.00,0.50,29461.60,41.60
31.60,30663.60,1.00,30704.00,40.40
32.80,26530.50,0.50,26571.80,41.30
30.90,29367.80,0.50,29407.30,39.50
34.30,43465.50,0.70,43509.40,43.90
34.30,27053.60,0.50,27096.90,43.30
33.30,28415.00,0.50,28458.90,43.90
27.60,27831.60,0.60,27867.10,35.50
36.60,29520.70,0.50,29567.10,46.40
36.70,28146.80,0.40,28194.60,47.80
33.50,17271.00,0.60,17317.40,46.40
32.40,27846.70,0.50,27888.60,41.90
31.30,29322.40,0.60,29361.60,39.20
32.80,30114.60,0.50,30156.30,41.70
35.40,20288.20,0.60,20332.30,44.10
80.50,28270.50,0.60,28365.10,94.60
33.90,44700.50,0.40,44744.20,43.70
32.30,28996.10,0.60,29037.50,41.40
32.70,26084.20,0.80,26126.40,42.20
31.00,28797.50,0.70,28837.00,39.50
31.80,28823.80,0.60,28864.10,40.30
37.20,27930.60,0.70,27976.60,46.00
32.30,29454.10,0.60,29494.80,40.70
32.00,28133.20,0.50,28174.00,40.80
31.60,29966.80,0.60,30007.10,40.30
32.70,31033.90,0.50,31074.60,40.70
41.10,27256.60,0.70,27311.30,54.70
41.90,26948.80,0.80,27003.70,54.90
33.50,43362.20,0.60,43404.90,42.70
32.80,28483.70,0.50,28527.60,43.90
33.80,26233.90,0.80,26277.40,43.50
31.80,31494.00,0.40,31534.00,40.00
37.30,23780.80,0.50,23827.70,46.90
31.70,28564.00,0.60,28603.80,39.80
31.90,28798.80,0.70,28840.80,42.00
29.30,29667.00,0.60,29704.10,37.10
34.50,30487.30,0.40,30530.70,43.40
33.90,28236.00,0.50,28278.40,42.40
30.00,29072.60,0.80,29110.00,37.40
104.40,26596.70,0.70,26727.00,130.30
31.90,44556.20,0.80,44596.80,40.60
33.10,28010.20,0.40,28052.30,42.10
32.50,25970.10,0.60,26011.00,40.90
31.20,28551.40,0.50,28593.50,42.10
33.50,28735.70,0.70,28778.50,42.80
33.00,29489.50,0.80,29531.30,41.80
32.80,27410.20,0.40,27451.50,41.30
32.50,28528.70,0.50,28569.90,41.20
29.30,30316.70,0.70,30355.10,38.40
34.50,28897.90,0.70,28941.60,43.70
37.80,29091.60,0.50,29138.20,46.60
68.00,28041.30,1.00,28125.60,84.30
42.20,43929.60,0.50,43981.40,51.80
32.00,26915.70,0.50,26957.20,41.50
28.50,28336.30,0.40,28373.30,37.00
28.60,29116.00,0.40,29154.00,38.00
34.70,28851.60,0.70,28897.60,46.00
32.60,28681.70,1.00,28725.40,43.70
31.50,28569.10,0.50,28608.70,39.60
33.40,29725.30,0.70,29768.30,43.00
34.00,28241.70,0.40,28284.20,42.50
31.70,30454.60,0.60,30495.50,40.90
129.90,28031.00,1.20,28178.40,147.40
97.80,26958.60,0.90,27072.70,114.10
33.40,43982.80,0.50,44026.30,43.50
33.00,27966.30,0.50,28010.70,44.40
32.50,29227.40,0.90,29270.90,43.50
32.80,24992.60,0.50,25034.70,42.10
34.20,28219.50,0.60,28262.00,42.50
34.30,28958.10,0.50,29002.30,44.20
34.10,28515.90,0.70,28557.90,42.00
29.30,28667.90,0.50,28705.40,37.50
32.40,30004.60,0.80,30047.30,42.70
31.40,29677.50,0.60,29719.30,41.80
39.10,28106.60,1.30,28157.30,50.70
94.70,27221.70,1.70,27346.70,125.00
34.70,43713.20,0.60,43758.90,45.70
33.70,28408.70,1.00,28454.40,45.70
33.10,27617.50,0.40,27666.80,49.30
32.30,28636.70,0.40,28680.60,43.90
33.70,29925.90,0.80,29968.80,42.90
34.50,27645.20,0.40,27688.30,43.10
32.10,28733.00,0.50,28773.40,40.40
32.70,28587.30,0.40,28627.70,40.40
33.20,28933.60,0.60,28975.40,41.80
31.80,30270.10,1.10,30311.30,41.20
32.20,29377.60,0.80,29418.60,41.00
31.20,28341.90,0.70,28382.20,40.30
33.10,43183.10,0.50,43224.70,41.60
32.90,27297.30,0.60,27347.00,49.70
33.30,29515.20,0.50,29557.60,42.40
43.80,28765.10,0.70,28819.10,54.00
32.90,27996.80,0.40,28037.80,41.00
81.70,28663.10,0.40,28754.30,91.20
37.70,29169.80,0.50,29216.50,46.70
